Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
mili birth control,7,8,6600,16,2.31,https://example.com/info/mili-birth-control-acne-causes-treatment-prevention.html,125,0.01,288.0,0.11,85,"[66,66,66,54,54,66,54,66,54,66,66,66]",2023-09-10,"People also ask, Related searches",informational,Organic
uro vitamins,6,7,12100,26,1.38,https://example.com/does-uro-vitamins-work-nao-medical/,108,0.0,149.0,1.0,92200000,"[0,0,0,10,13,44,36,67,100,81,67,54]",2023-09-09,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
bzo drug test,1,1,1600,28,2.74,https://example.com/blog/bzo-drug-test-meaning-nyc/,105,0.0,287.0,0.02,243000,"[100,100,100,100,81,100,81,100,100,81,100,81]",2023-09-08,"Sitelinks, Reviews, Featured snippet, Image, People also ask, Indented, Related searches",informational,People also ask
crack pre workout,9,9,3600,10,1.28,https://example.com/dark-labs-pre-workout-crack-safety-effectiveness/,86,0.0,110.0,1.0,8980000,"[43,54,54,54,66,81,66,66,54,54,43,66]",2023-09-03,,informational,Organic
truly keto gummies,9,9,3600,12,1.94,https://example.com/info/truly-keto-gummies-ingredients.html,86,0.0,166.0,0.43,99,"[54,100,44,36,12,12,8,6,3,2,2,2]",2023-09-06,"Knowledge panel, Ads bottom, Recipes, Indented","informational, transactional",Organic
can you take tylenol on an empty stomach,8,0,6600,27,6.87,https://example.com/info/do-i-have-to-eat-with-tylenol.html,85,0.0,583.0,0.0,2230000,"[66,54,66,81,81,66,66,66,66,66,66,54]",2023-09-09,"Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
potassium sulfide,8,7,6600,24,2.3,https://example.com/info/potassium-sulfide-ionic-or-covalent.html,85,0.0,195.0,0.02,11900000,"[8,66,66,54,36,44,54,36,19,19,10,4]",2023-09-09,"Knowledge panel, Sitelinks, Reviews, People also ask, Indented, Related searches",informational,Organic
how to pass oral drug test,2,2,2400,23,1.71,https://example.com/blog/mouth-swab-drug-test-pass-nyc/,84,0.0,143.0,0.01,120000000,"[53,81,81,18,44,16,44,16,44,66,66,53]",2023-09-08,"Sitelinks, People also ask, FAQ, Indented",informational,Organic
uro vitamins,7,8,12100,26,1.38,https://example.com/blog/is-uro-vitamins-good-for-your-health/,84,0.0,115.0,1.0,92200000,"[0,0,0,10,13,44,36,67,100,81,67,54]",2023-09-09,"Sitelinks, Reviews, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
wild cat protein shake,4,4,1300,8,1.08,https://example.com/blog/wildcat-protein-shake-benefits-recipes-nutrition-facts/,84,0.0,90.0,0.53,8060000,"[0,0,16,100,0,29,0,0,1,1,0,0]",2023-09-07,"Sitelinks, Reviews, Video, Image, Video Carousel, Recipes, Related searches",informational,Organic
ri corporate database,4,4,1300,27,2.93,https://example.com/info/ri-corporate-database-benefits.html,84,0.0,246.0,0.01,13000000,"[81,62,81,62,55,100,81,81,81,62,81,81]",2023-09-07,"Image pack, Indented, Related searches",informational,Organic
negative for intraepithelial lesion or malignancy,6,6,3600,29,2.9,https://example.com/blog/pap-smear-negative-intraepithelial-lesion-meaning/,79,0.0,229.0,0.0,99,"[81,81,81,81,81,100,100,100,81,100,100,81]",2023-09-05,"Sitelinks, Featured snippet, People also ask, Indented, Related searches",informational,Organic
gladiator protein,1,1,2400,12,1.21,https://example.com/blog/smoothie-king-gladiator-review/,78,0.0,94.0,0.47,3270000,"[100,79,66,66,66,100,100,100,100,100,100,100]",2023-09-06,"Image pack, Reviews, Video, Image, People also ask, Recipes, Indented, Related searches",informational,People also ask
anteroseptal infarct,7,7,3600,24,1.67,https://example.com/blog/anteroseptal-myocardial-infarction-symptoms-nao-medical/,68,0.0,113.0,0.03,157000,"[81,81,81,81,81,81,100,100,100,81,81,81]",2023-09-05,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches","commercial, informational",Organic
pink vitamin water,1,1,1000,26,1.88,https://example.com/info/strawberry-kiwi-vitamin-water-benefits.html,66,0.0,124.0,1.0,207000000,"[55,62,55,62,62,62,62,100,81,62,81,62]",2023-09-08,"Image pack, Reviews, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
tlc drug test,6,6,2900,23,3.52,https://example.com/blog/tlc-drug-test-nyc-2/,63,0.0,221.0,0.17,13200000,"[81,100,29,100,54,65,29,65,54,65,65,54]",2023-09-04,"Video, Image, People also ask, Indented, Related searches","commercial, informational",Organic
hyperkalemia icd 10,9,0,6600,27,3.88,https://example.com/info/understanding-icd-10-hyperkalemia-causes-symptoms-treatment.html,59,0.0,228.0,0.0,392000,"[81,81,81,81,81,100,81,100,100,100,81,81]",2023-09-09,"Image pack, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
potassium sulfide,9,15,6600,24,2.3,https://example.com/info/potassium-sulfide-formula.html,59,0.0,135.0,0.02,11900000,"[8,66,66,54,36,44,54,36,19,19,10,4]",2023-09-09,"Knowledge panel, Sitelinks, Reviews, People also ask, Indented, Related searches",informational,Organic
wegovy injection sites,5,5,2400,25,5.2,https://example.com/info/most-effective-injection-site-wegovy.html,57,0.0,296.0,0.09,1360000,"[4,3,3,3,3,19,8,54,12,100,54,54]",2023-09-08,"Featured snippet, Image, Ads top, People also ask, Related searches",informational,Organic
6 week belly ozempic weight loss before and after,9,8,8100,13,2.01,https://example.com/blog/6-week-belly-ozempic-weight-loss-before-and-after/,56,0.0,112.0,0.02,389000,"[13,29,24,66,10,13,100,66,54,81,54,44]",2023-09-09,"Image pack, Sitelinks, Image, Ads bottom, People also ask, Indented",informational,Organic
tlc drug test,7,7,2900,23,3.52,https://example.com/info/tlc-drug-test-nyc.html,55,0.0,193.0,0.17,13200000,"[81,100,29,100,54,65,29,65,54,65,65,54]",2023-09-04,"Video, Image, People also ask, Indented, Related searches","commercial, informational",Organic
fairlife protein shake caramel,1,1,1300,20,2.13,https://example.com/fairlife-protein-shakes-discontinued-2/,53,0.0,112.0,0.98,95,"[66,54,41,54,30,66,79,54,54,54,24,16]",2023-09-04,"Knowledge panel, Reviews, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
wrecked preworkout,2,0,1300,27,1.13,https://example.com/blog/is-wrecked-pre-workout-safe/,53,0.0,59.0,1.0,491000,"[8,8,13,16,5,24,16,16,16,19,13,13]",2023-09-09,"Knowledge panel, Image pack, Reviews, Image, People also ask, FAQ, Related products","informational, transactional",People also ask
rhino 24k,1,1,1600,11,1.15,https://example.com/blog/24k-pill-side-effects-nao-medical/,52,0.0,59.0,1.0,69,"[12,12,100,8,7,8,7,8,10,8,8,12]",2023-09-07,"People also ask, Related searches",informational,People also ask
ozempic mexico,6,6,2400,22,1.47,https://example.com/health/how-much-does-ozempic-cost-in-mexico/?amp=1,52,0.0,76.0,0.15,2960000,"[13,13,29,22,36,43,54,65,81,100,81,54]",2023-09-07,"Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
dark energy preworkout,7,7,1600,5,1.24,https://example.com/dark-energy-pre-workout-review/,48,0.0,59.0,1.0,13400000,"[4,66,54,3,8,3,2,2,16,2,29,3]",2023-09-05,"Sitelinks, Reviews, Video, Image, Related searches","commercial, informational",Organic
viagra before and after photos,10,8,6600,10,2.53,https://example.com/blog/viagra-before-and-after-photos-side-effects/,46,0.0,116.0,0.02,6910000,"[66,66,10,8,3,8,7,7,5,4,4,3]",2023-09-10,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
crack pre workout,12,12,3600,10,1.28,https://example.com/blog/crack-dark-labs-pre-workout-safety-effectiveness/,46,0.0,58.0,1.0,8980000,"[43,54,54,54,66,81,66,66,54,54,43,66]",2023-09-03,,informational,Organic
hyperkalemia icd 10,10,11,6600,27,3.88,https://example.com/info/understanding-hyperkalemia-icd10-codes.html,46,0.0,178.0,0.0,392000,"[81,81,81,81,81,100,81,100,100,100,81,81]",2023-09-09,"Image pack, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
heart nipple tattoo,9,8,1900,23,4.74,https://example.com/blog/heart-nipple-tattoo-ideas-cardiology-nao-medical/,45,0.0,213.0,0.0,15200000,"[66,54,7,13,19,15,15,13,8,8,54,43]",2023-09-09,"Sitelinks, Reviews, Indented","informational, transactional",Organic
triancinolona acetonida,5,5,1900,28,1.24,https://example.com/info/triancinolona-acetonida-uses-side-effects-precautions.html,45,0.0,55.0,0.03,56800,"[79,66,79,79,79,100,100,100,100,79,79,79]",2023-09-07,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Indented, Related searches",informational,Organic
is horniness an early sign of pregnancy or period,8,8,1900,19,1.63,https://example.com/info/is-being-hornier-a-sign-of-early-pregnancy.html,45,0.0,73.0,0.05,68,"[55,65,65,65,82,100,100,100,55,55,44,82]",2023-09-04,"Sitelinks, Featured snippet, People also ask, Indented, Related searches",informational,Organic
junel fe 1.5/30,6,6,2400,27,2.67,https://example.com/info/junel-fe-1-5-30-everything-you-need-to-know.html,45,0.0,120.0,0.16,42100,"[66,66,66,80,80,100,52,66,52,52,52,66]",2023-09-03,"Image pack, Sitelinks, Image, People also ask",informational,Organic
ozempic and coffee,4,4,1900,28,3.64,https://example.com/info/can-you-drink-coffee-while-on-ozempic-2.html,45,0.0,163.0,0.1,1750000,"[24,24,24,20,27,100,100,100,52,52,52,52]",2023-09-07,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Recipes, Related searches",informational,Organic
mounjaro coupon change,4,4,1000,26,2.03,https://example.com/info/mounjaro-coupon-change-november-2023.html,44,0.0,89.0,0.22,144000,"[0,5,8,100,100,66,36,24,24,30,36,54]",2023-09-07,"Sitelinks, Reviews, Video, Ads bottom, People also ask, Related searches",informational,Organic
fairlife protein shake caramel,1,1,1300,20,2.13,https://example.com/why-fairlife-protein-shakes-out-of-stock/,42,0.0,89.0,0.98,95,"[66,54,41,54,30,66,79,54,54,54,24,16]",2023-09-04,"Knowledge panel, Reviews, Video, Image, People also ask, Popular products, Related searches","informational, transactional",People also ask
pressed seltzer,1,0,1300,29,1.5,https://example.com/info/press-seltzer-nutrition-facts.html,42,0.0,63.0,0.82,641000,"[3,2,4,12,0,19,0,36,1,1,2,19]",2023-09-09,"Image pack, Reviews, Image, Video Carousel, People also ask, Indented, Popular products, Related searches","informational, transactional",People also ask
foxes drink,1,1,1300,15,2.97,https://example.com/info/benefits-of-taurine-for-foxes-5.html,42,0.0,124.0,0.0,15100000,"[55,55,16,65,34,55,65,16,20,100,0,0]",2023-09-04,"Image pack, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Recipes, Indented, Related searches",informational,People also ask
are nutri grain bars healthy,1,1,1000,16,1.78,https://example.com/info/are-nutri-grain-bars-healthy-2.html,41,0.0,72.0,0.05,894000,"[55,62,45,81,45,100,81,100,62,62,36,30]",2023-09-08,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, People also ask, Indented, Related searches",informational,People also ask
ozempic nausea relief,6,0,1900,28,4.22,https://example.com/info/managing-ozempic-nausea-tips-strategies-relief-2.html,41,0.0,173.0,0.06,750000,"[34,55,55,55,65,82,82,100,100,100,82,65]",2023-09-09,"Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
webster bank hours,6,6,1900,17,1.18,https://example.com/info/webster-bank-hours.html,41,0.0,48.0,0.02,16200000,"[54,79,79,79,100,66,66,79,41,66,79,100]",2023-09-06,"Image pack, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
wrecked pre workout,12,10,8100,15,1.13,https://example.com/wrecked-pre-workout-review/,40,0.0,45.0,1.0,4780000,"[29,29,24,29,24,29,66,54,54,44,29,36]",2023-09-10,"Reviews, Video, Image, People also ask, FAQ, Related products, Related searches","informational, transactional",Organic
how do i know when my ozempic pen is empty,3,3,1300,21,4.29,https://example.com/info/how-to-tell-if-ozempic-pen-is-empty-2.html,39,0.0,167.0,0.08,91,"[52,52,52,68,68,84,84,100,100,84,68,68]",2023-09-05,"Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
sore throat when smoking,4,4,1300,29,7.01,https://example.com/blog/sore-throat-smoking-causes-symptoms-treatment-nyc/,39,0.0,273.0,0.0,17400000,"[54,1,54,36,79,0,66,54,66,66,100,0]",2023-09-07,"Image pack, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
how long does nausea last with wegovy,3,3,1300,22,3.66,https://example.com/info/how-long-does-nausea-from-wegovy-last.html,39,0.0,142.0,0.04,338000,"[16,13,13,10,16,66,100,100,100,100,100,100]",2023-09-03,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
does blue cross blue shield cover ozempic for weight loss,3,3,1300,23,1.55,https://example.com/blog/will-blue-cross-blue-shield-cover-ozempic-for-weight-loss/,39,0.0,60.0,0.2,128000,"[3,3,16,20,16,34,44,65,65,100,100,65]",2023-09-07,"Featured snippet, People also ask, Related searches",informational,Organic
tri lo marzia,8,8,4400,21,2.18,https://example.com/info/tri-lo-marzia-everything-you-need-to-know.html,39,0.0,85.0,0.04,313000,"[66,66,66,54,66,66,66,54,54,66,66,54]",2023-09-09,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
does ozempic need to be refrigerated,9,9,4400,24,3.27,https://example.com/info/must-you-refrigerate-ozempic.html,39,0.0,127.0,0.13,77,"[43,36,43,43,43,54,66,100,100,100,100,81]",2023-09-09,"Sitelinks, Featured snippet, People also ask, Indented, Related searches",informational,Organic
1 positive pregnancy test 3 negative,4,4,1600,29,2.0,https://example.com/info/one-positive-pregnancy-test-and-3-negative-what-does-it-mean.html,38,0.0,76.0,0.04,191000000,"[66,66,79,100,79,79,66,54,41,36,36,41]",2023-09-08,"Sitelinks, Video, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
boric acid for uti,5,5,1600,29,2.32,https://example.com/blog/boric-acid-solution-uti-treatment/,38,0.0,88.0,1.0,416000,"[68,100,68,52,68,84,68,84,84,84,84,84]",2023-09-07,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
steroid shot for sinus infection,5,5,1600,16,2.84,https://example.com/info/steroid-shot-sinus-infection.html,38,0.0,107.0,0.02,1590000,"[36,41,66,79,79,66,79,100,66,66,41,41]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
ashlyna birth control,8,8,2900,21,2.19,https://example.com/info/ashlyna-birth-control-pill.html,37,0.0,81.0,0.1,93,"[66,66,81,66,66,66,66,66,66,44,44,35]",2023-09-05,"Sitelinks, People also ask, Indented, Related searches","commercial, informational",Organic
kt tape rotator cuff,7,7,1900,12,1.01,https://example.com/info/kt-tape-shoulder-rotator-cuff.html,36,0.0,36.0,0.71,243000,"[82,65,65,55,55,65,82,65,65,44,82,65]",2023-09-05,"Reviews, Video, Image, People also ask, Related searches",informational,Organic
is tropical smoothie healthy,7,7,1900,27,1.71,https://example.com/blog/is-tropical-smoothie-cafe-healthy-review-2/,36,0.0,61.0,0.01,25900000,"[79,66,54,54,41,79,79,79,79,100,100,79]",2023-09-08,"Sitelinks, Reviews, Video, Featured snippet, People also ask, FAQ, Recipes, Related searches",informational,Organic
semaglutide pronunciation,4,4,1900,18,7.04,https://example.com/info/semaglutide-pronunciation-why-it-matters.html,36,0.0,253.0,0.07,76,"[16,20,30,34,34,65,65,82,82,100,100,82]",2023-09-03,"Reviews, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
wrecked pre-workout,6,6,1600,28,1.13,https://example.com/wrecked-pre-workout-ingredients/,35,0.0,39.0,1.0,6200000,"[1,1,0,24,0,8,29,13,100,0,0,0]",2023-09-03,"Knowledge panel, Reviews, Video, Image, People also ask, FAQ, Indented, Related products, Related searches","informational, transactional",Organic
can saliva cause uti,4,4,1000,28,1.81,https://example.com/info/does-saliva-cause-uti-exploring-link-between-saliva-urinary-tract-infections.html,35,0.0,63.0,0.05,712000,"[30,44,44,44,55,65,44,30,20,20,24,24]",2023-09-07,"Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
icd 10 hyperkalemia,9,0,3600,26,3.88,https://example.com/info/understanding-icd-10-code-hyperkalemia.html,32,0.0,124.0,0.0,224000,"[81,100,36,54,54,43,54,43,36,43,43,36]",2023-09-09,"Image pack, Featured snippet, People also ask, Related searches","commercial, informational",Organic
16 panel drug test,1,1,1000,19,1.1,https://example.com/blog/does-sarms-show-up-on-a-drug-test-nyc/,32,0.0,35.0,0.45,283000000,"[76,76,76,55,55,67,67,76,67,76,100,76]",2023-09-08,"Ads bottom, People also ask","commercial, informational",People also ask
does united healthcare cover wegovy for weight loss,4,56,1300,29,3.15,https://example.com/info/wegovy-united-healthcare-coverage.html,31,0.0,97.0,0.22,220000,"[4,8,13,24,24,79,79,100,79,100,100,66]",2023-09-09,"People also ask, Indented, Related searches",informational,Organic
does united healthcare cover wegovy for weight loss,5,0,1300,29,3.15,https://example.com/info/does-united-care-cover-wegovy.html,31,0.0,97.0,0.22,220000,"[4,8,13,24,24,79,79,100,79,100,100,66]",2023-09-09,"People also ask, Indented, Related searches",informational,Organic
slin pills,8,8,1300,22,1.46,https://example.com/sline-pills-side-effects-nao-medical/,31,0.0,45.0,0.77,81500,"[13,10,10,8,10,16,22,29,29,65,100,54]",2023-09-06,Ads top,informational,Organic
what happens if ozempic is not refrigerated before first use,5,5,1300,26,3.46,https://example.com/blog/what-happens-if-ozempic-is-not-refrigerated-before-first-use/,31,0.0,107.0,0.12,91,"[0,0,0,2,41,100,100,100,100,100,100,79]",2023-09-03,"Sitelinks, Reviews, Video, Featured snippet, Ads top, Ads bottom, People also ask, Indented, Related searches",informational,Organic
melatonin and tylenol,6,6,1300,24,1.16,https://example.com/info/can-i-take-melatonin-with-tylenol.html,31,0.0,35.0,0.0,878000,"[68,68,52,84,84,52,52,68,52,84,68,46]",2023-09-06,"Sitelinks, Image, People also ask, Related searches","informational, transactional",Organic
how long does nausea last with wegovy,4,4,1300,22,3.66,https://example.com/blog/how-long-does-nausea-last-with-wegovy/,31,0.0,113.0,0.04,338000,"[16,13,13,10,16,66,100,100,100,100,100,100]",2023-09-03,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
does blue cross blue shield cover ozempic for weight loss,4,4,1300,23,1.55,https://example.com/blog/blue-cross-blue-shield-cover-ozempic-weight-loss-2/,31,0.0,48.0,0.2,128000,"[3,3,16,20,16,34,44,65,65,100,100,65]",2023-09-07,"Featured snippet, People also ask, Related searches",informational,Organic
fastest way to clean out your system while pregnant,6,6,1300,16,1.25,https://example.com/info/fastest-way-to-clean-out-your-system-while-pregnant.html,31,0.0,38.0,0.07,388000000,"[100,100,84,68,68,68,68,68,52,52,46,46]",2023-09-04,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
what happens if you take too much ozempic,8,8,2400,27,4.25,https://example.com/info/what-to-do-if-i-take-too-much-ozempic-2.html,31,0.0,131.0,0.07,15300000,"[54,43,54,43,54,54,54,65,54,43,54,54]",2023-09-04,"Sitelinks, Video, Featured snippet, People also ask, Indented, Related searches",informational,Organic
nkda allergy,5,5,1300,28,1.58,https://example.com/info/nkda-medical-understanding-non-known-drug-allergies.html,31,0.0,48.0,0.0,76700,"[84,100,84,84,52,37,68,84,68,100,31,100]",2023-09-06,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
mounjaro pen malfunction,2,2,1000,28,3.41,https://example.com/info/fix-mounjaro-pen-misfire.html,30,0.0,102.0,0.13,51,"[0,20,76,100,76,76,100,76,76,76,76,100]",2023-09-07,"Sitelinks, Reviews, Video, Video Carousel, People also ask, Related searches",informational,Organic
boric acid for uti,7,7,1600,29,2.32,https://example.com/blog/boric-acid-uti-prevention/,30,0.0,69.0,1.0,416000,"[68,100,68,52,68,84,68,84,84,84,84,84]",2023-09-07,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
7 day military diet,6,6,1600,26,1.38,https://example.com/blog/military-diet-menu-7-days-nao-medical/,30,0.0,41.0,0.0,62400000,"[66,66,66,41,36,66,66,79,66,66,54,54]",2023-09-05,"Image pack, Sitelinks, Reviews, Video, People also ask, FAQ, Related searches",informational,Organic
lingular pneumonia,3,3,1000,28,1.45,https://example.com/lingular-pneumonia-icd-10-symptoms-causes-treatment-nao-medical/,30,0.0,43.0,0.03,42500,"[55,55,100,100,76,100,100,100,100,76,76,76]",2023-09-08,"Image, People also ask, Related searches",informational,Organic
nitro wood,10,10,4400,18,2.28,https://example.com/blog/nitro-wood-erectile-dysfunction-treatment/,30,0.0,68.0,1.0,67200000,"[35,35,44,35,29,35,29,44,44,66,100,81]",2023-09-09,"Knowledge panel, Video, Image, People also ask, FAQ, Indented, Related products, Related searches","informational, transactional",Organic
junel fe 24,6,6,1600,28,2.46,https://example.com/info/junel-fe-24-guide.html,30,0.0,73.0,0.22,97,"[66,54,54,54,54,79,66,79,54,79,79,79]",2023-09-08,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
what pharmacy has wegovy in stock,7,7,1600,19,1.58,https://example.com/info/which-pharmacies-have-wegovy-in-stock.html,30,0.0,47.0,0.11,227000,"[4,5,10,19,19,8,5,3,3,23,100,44]",2023-09-06,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
digit symbol substitution test,8,8,1600,22,2.44,https://example.com/info/digit-symbol-substitution-test-assessing-cognitive-function.html,30,0.0,73.0,0.03,1970000,"[24,100,66,29,35,18,16,16,18,10,8,18]",2023-09-03,"Sitelinks, Featured snippet, People also ask, Related searches","commercial, informational",Organic
what happens if you stop using tretinoin,3,3,1000,29,1.24,https://example.com/info/what-happens-if-you-stop-using-tretinoin-side-effects-rebound-acne.html,30,0.0,37.0,0.02,2840000,"[62,62,62,55,62,81,81,100,62,62,45,30]",2023-09-06,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
wegovy injection site thigh,3,3,1000,20,5.74,https://example.com/info/can-i-inject-wegovy-in-my-thigh.html,30,0.0,172.0,0.01,84700,"[1,5,68,100,100,52,37]",2023-09-03,"Image pack, Featured snippet, Image, People also ask, Related searches",informational,Organic
can ozempic cause joint pain,7,7,1600,19,4.2,https://example.com/info/ozempic-cause-joint-pain.html,30,0.0,126.0,0.03,267000,"[52,68,68,52,68,84,84,100,100,100,84,68]",2023-09-03,"Featured snippet, Image, Ads bottom, People also ask, Indented, Related searches",informational,Organic
mounjaro for pcos,7,7,1600,20,1.65,https://example.com/health/mounjaro-pcos-connection-treatment-options/?amp=1,30,0.0,49.0,0.09,87,"[11,34,65,44,65,55,44,65,65,44,100,20]",2023-09-07,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
stint vs stent,7,7,1600,25,1.46,https://example.com/blog/heart-stent-or-stint-nao-medical-2/,30,0.0,43.0,0.0,160000,"[36,54,66,54,54,66,79,100,79,79,66,66]",2023-09-07,"Video, Featured snippet, People also ask, Related searches",informational,Organic
mean lesbians,7,7,1000,24,1.79,https://example.com/info/understanding-mean-lesbian-stereotype-debunking-myths.html,30,0.0,53.0,0.0,49100000,"[36,27,27,52,20,13,20,27,27,20,27,36]",2023-09-05,"Sitelinks, Reviews, Indented",informational,Organic
braven smart card,5,0,1300,24,2.46,https://example.com/info/braven-health-smart-card-convenient-secure-healthcare-solution.html,28,0.0,68.0,0.01,50,"[0,0,0,0,4,100,52,80,24,44,44,44]",2023-09-09,"Tweet, Video, People also ask, Related searches",informational,Organic
rexall pregnancy test,5,5,1300,17,2.37,https://example.com/info/rexall-positive-pregnancy-test.html,28,0.0,66.0,0.61,87,"[36,36,41,41,41,54,54,54,54,54,66,41]",2023-09-05,"Knowledge panel, Image pack, Reviews, Image, People also ask, Indented, Popular products, Related searches",informational,Organic
trojan magnum condoms,2,2,1300,24,1.52,https://example.com/info/are-trojan-magnums-actually-bigger.html,28,0.0,42.0,0.98,2170000,"[66,66,52,24,24,27,27,27,20,20,20,20]",2023-09-06,"Reviews, People also ask, Indented, Related products, Related searches","informational, transactional",People also ask
twisted tea nutrition facts,11,0,5400,23,1.34,https://example.com/health/twisted-tea-nutrition-facts-12-oz-can/?amp=1,27,0.0,36.0,0.08,91,"[66,54,36,29,29,44,44,54,66,81,81,100]",2023-09-10,"Sitelinks, Reviews, People also ask, Recipes, Indented, Related searches",informational,Organic
true form keto gummies,10,10,3600,9,1.62,https://example.com/info/true-form-keto-gummies-ultimate-guide-achieving-ketosis.html,25,0.0,40.0,1.0,85,"[0,0,0,0,0,0,0,0,66,81,100,44]",2023-09-03,"Knowledge panel, Reviews, Image, Ads bottom, People also ask, Related searches","informational, transactional",Organic
