Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
can you ovulate without a period,13,13,4400,25,1.42,https://example.com/info/can-you-ovulate-and-not-have-a-period.html,17,0.0,24.0,0.01,4430000,"[81,66,66,81,81,81,66,81,81,81,66,81]",2023-09-10,"Sitelinks, Featured snippet, People also ask, Indented, Related searches",informational,Organic
8 panel drug test,9,9,1900,22,2.88,https://example.com/blog/8-panel-mql-drug-test-nyc-2/,17,0.0,48.0,0.43,315000000,"[100,100,100,84,84,100,84,100,100,100,100,84]",2023-09-06,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, FAQ, Indented, Popular products, Related searches","commercial, informational",Organic
nonischemic cardiomyopathy icd 10,8,8,1300,23,3.99,https://example.com/info/understanding-icd-10-nonischemic-cardiomyopathy.html,16,0.0,63.0,0.0,72,"[81,81,81,62,81,81,81,81,81,100,100,100]",2023-09-06,"Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
potassium chloride 10 meq,8,8,1300,27,1.17,https://example.com/info/potassium-chloride-extended-release-10-meq-uses-side-effects-dosage.html,16,0.0,18.0,0.33,73,"[81,81,100,81,81,100,81,81,81,100,100,100]",2023-09-06,"Image pack, Image, People also ask, Related searches","commercial, informational",Organic
outback allergen menu,8,8,1300,17,1.41,https://example.com/blog/outback-ingredients-allergy-menu-nao-medical/,16,0.0,22.0,0.01,184000,"[62,81,81,62,100,100,100,81,81,100,100,81]",2023-09-07,"Reviews, People also ask, Related searches",informational,Organic
ketamine lozenges,12,12,1300,13,2.5,https://example.com/info/ketamine-lozenges-vs-iv-treatment.html,16,0.0,40.0,0.39,98900,"[62,55,55,100,81,100,81,62,81,81,81,55]",2023-09-09,"Image, Indented, Related searches",informational,Organic
does triamcinolone acetonide cream lighten skin,14,13,5400,26,2.93,https://example.com/info/triamcinolone-acetonide-for-face-benefits-usage-precautions.html,16,0.0,46.0,0.01,86,"[43,43,43,43,81,100,81,81,100,100,100,81]",2023-09-09,"Sitelinks, Image, People also ask, Related searches","commercial, informational",Organic
are nature valley bars healthy,8,8,1300,23,1.56,https://example.com/blog/nature-valley-granola-bars-diet/,16,0.0,24.0,0.15,17200000,"[84,52,68,46,46,84,84,100,84,84,68,68]",2023-09-06,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches","informational, transactional",Organic
136 86 blood pressure,8,8,1300,26,1.14,https://example.com/blog/blood-pressure-136-86-nao-medical/,16,0.0,18.0,0.0,96100000,"[62,81,62,55,55,81,81,100,81,81,81,81]",2023-09-04,"Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
how much does electrolysis cost,8,8,1300,27,3.43,https://example.com/info/how-much-does-electrolysis-cost-for-face.html,16,0.0,54.0,0.35,25800000,"[81,81,81,81,62,100,81,81,81,81,81,81]",2023-09-07,"Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
costco smoothie packs,4,4,1300,18,1.1,https://example.com/is-costco-smoothie-healthy/,15,0.0,16.0,0.48,1290000,"[84,68,68,52,46,100,84,84,68,68,84,84]",2023-09-07,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, Recipes, Indented, Related searches",informational,People also ask
amoxicillin for std,9,9,1600,20,1.7,https://example.com/info/does-amoxicillin-treat-stds-3.html,14,0.0,23.0,0.1,1290000,"[84,84,100,84,84,100,68,100,84,100,68,84]",2023-09-05,"Sitelinks, Reviews, Image, People also ask, Indented, Related searches","commercial, informational",Organic
how long does ozempic fatigue last,9,9,1600,27,4.19,https://example.com/info/can-ozempic-cause-fatigue-2.html,14,0.0,58.0,0.06,773000,"[10,20,24,36,79,79,79,100,79,100,79,79]",2023-09-03,"Sitelinks, Featured snippet, Ads bottom, People also ask, Related searches",informational,Organic
does vitamin water have caffeine,9,9,1600,28,8.8,https://example.com/blog/how-much-caffeine-in-vitamin-water-focus/,14,0.0,123.0,0.08,52000000,"[84,84,84,68,68,68,84,100,84,84,68,84]",2023-09-07,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Recipes, Related searches",informational,Organic
how long does temporary erectile dysfunction last,8,55,1000,23,3.75,https://example.com/blog/temporary-erectile-dysfunction-last/,13,0.0,48.0,0.13,2780000,"[100,100,100,100,100,100,67,45,24,55,55,55]",2023-09-09,"Sitelinks, Featured snippet, People also ask, Related searches",informational,Organic
wegovy side effects with alcohol,8,8,1000,15,6.14,https://example.com/info/can-you-drink-alcohol-while-on-wegovy.html,13,0.0,79.0,0.07,271000000,"[7,8,13,11,13,46,84,84,84,84,84,100]",2023-09-07,"Sitelinks, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
how much is mounjaro without insurance,14,12,4400,15,1.23,https://example.com/health/mounjaro-savings-card-without-insurance/?amp=1,13,0.0,15.0,0.42,672000,"[7,28,54,100,66,81,81,81,81,100,100,81]",2023-09-09,"Reviews, People also ask, FAQ, Indented, Related searches",informational,Organic
8 panel drug test,10,10,1900,22,2.88,https://example.com/info/what-does-8-panel-drug-test-test-for.html,13,0.0,37.0,0.43,315000000,"[100,100,100,84,84,100,84,100,100,100,100,84]",2023-09-06,"Image pack, Sitelinks, Reviews, Video, Image, People also ask, FAQ, Indented, Popular products, Related searches","commercial, informational",Organic
4 panel drug test,14,0,4400,29,2.62,https://example.com/blog/what-is-a-4-panel-drug-test-everything-you-need-to-know/,13,0.0,34.0,0.08,396000000,"[100,81,100,81,66,81,81,100,100,100,100,100]",2023-09-09,"Video, Featured snippet, Image, People also ask, Popular products, Related searches",informational,Organic
vestura birth control,10,10,2400,18,2.64,https://example.com/info/vestura-birth-control-everything-you-need-to-know.html,12,0.0,31.0,0.07,45500,"[100,82,82,82,82,100,82,82,82,82,82,82]",2023-09-06,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
arthralgia and myalgia,9,9,1300,24,1.15,https://example.com/info/myalgia-vs-arthralgia-understanding-difference-treatment-options.html,11,0.0,12.0,0.02,2170000,"[8,30,41,20,79,79,41,7,100,79,100,100]",2023-09-07,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Indented, Related searches","commercial, informational",Organic
are nature valley bars healthy,9,9,1300,23,1.56,https://example.com/blog/is-nature-valley-granola-bars-healthy/,11,0.0,17.0,0.15,17200000,"[84,52,68,46,46,84,84,100,84,84,68,68]",2023-09-06,"Sitelinks, Reviews, Video, People also ask, Indented, Related searches","informational, transactional",Organic
glutathione before and after,9,9,1300,16,1.13,https://example.com/info/glutathione-injections-before-and-after.html,9,0.0,10.0,0.08,51000000,"[100,81,81,81,81,81,81,81,62,62,62,55]",2023-09-04,"Image pack, Reviews, Video, Image, People also ask, Indented, Related searches",informational,Organic
kurvelo birth control,10,10,1300,19,1.95,https://example.com/info/kurvelo-birth-control-guide.html,9,0.0,17.0,0.12,27000,"[84,84,68,68,68,84,84,84,52,46,68,84]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Related searches","commercial, informational",Organic
calcinosis cutis dog,12,12,1900,24,1.32,https://example.com/blog/calcinosis-cutis-dog/,9,0.0,11.0,0.01,63800,"[66,79,66,79,66,66,79,100,66,100,79,79]",2023-09-05,"Video, Featured snippet, People also ask, Related searches",informational,Organic
vestura birth control,12,12,2400,18,2.64,https://example.com/info/vestura-contraceptive-pill.html,9,0.0,23.0,0.07,45500,"[100,82,82,82,82,100,82,82,82,82,82,82]",2023-09-06,"Image pack, Sitelinks, Image, People also ask, Related searches",informational,Organic
arthralgia and myalgia,10,10,1300,24,1.15,https://example.com/info/arthralgia-myalgia-causes-symptoms-treatment.html,9,0.0,10.0,0.02,2170000,"[8,30,41,20,79,79,41,7,100,79,100,100]",2023-09-07,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Indented, Related searches","commercial, informational",Organic
does uti cause bloating,9,9,1000,25,1.62,https://example.com/info/can-uti-make-you-feel-bloated.html,9,0.0,14.0,0.02,57,"[76,76,67,67,55,67,36,100,76,100,76,76]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
signs of a bad physical therapist,9,9,1000,16,4.99,https://example.com/info/signs-of-a-bad-physical-therapist-identify-avoid-incompetent-practitioners.html,9,0.0,44.0,0.02,69000000,"[76,76,76,76,67,76,67,76,67,67,67,67]",2023-09-08,"Video, Featured snippet, People also ask, Related searches",informational,Organic
pentylene glycol,11,11,1900,20,2.14,https://example.com/info/pentylene-glycol-in-skin-care.html,9,0.0,19.0,0.04,8470000,"[79,66,79,79,66,100,79,100,79,79,79,79]",2023-09-05,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
proteinuria icd 10,16,16,2900,21,11.01,https://example.com/info/icd-10-code-for-protein-in-urine.html,8,0.0,88.0,0.01,62,"[82,82,82,82,82,100,82,100,100,100,100,100]",2023-09-05,"Image pack, Featured snippet, People also ask, Indented, Related searches",informational,Organic
does vitamin water have electrolytes,13,13,1900,27,2.06,https://example.com/info/do-vitamin-waters-have-electrolytes.html,7,0.0,14.0,0.02,21500000,"[79,79,79,66,66,79,79,79,66,66,79,100]",2023-09-07,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Recipes, Related searches","commercial, informational",Organic
pendulous breasts,13,13,1900,17,1.68,https://example.com/info/pendulous-breast-causes.html,7,0.0,11.0,0.01,593000,"[100,100,79,41,79,79,79,79,100,79,36,66]",2023-09-05,"Sitelinks, Reviews, People also ask","commercial, informational",Organic
why am i gaining weight on ozempic,10,54,1000,18,3.15,https://example.com/info/gaining-weight-on-ozempic-causes-solutions-tips-2.html,7,0.0,22.0,0.05,1390000,"[36,30,30,36,36,81,100,100,62,81,100,100]",2023-09-09,"Sitelinks, Video, Featured snippet, People also ask, Indented, Related searches",informational,Organic
does uti cause bloating,10,10,1000,25,1.62,https://example.com/info/do-you-feel-bloated-with-a-uti.html,7,0.0,11.0,0.02,57,"[76,76,67,67,55,67,36,100,76,100,76,76]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
exophytic fibroid,9,9,1000,25,3.93,https://example.com/info/exophytic-fibroid-uterus-causes-symptoms-treatment.html,7,0.0,27.0,0.02,28300,"[67,67,67,67,67,76,76,100,76,76,76,67]",2023-09-03,"Image pack, Sitelinks, Image, People also ask, Indented, Related searches",informational,Organic
gleem toothpaste,9,9,1000,25,1.99,https://example.com/info/benefits-of-gleem-toothpaste.html,7,0.0,13.0,1.0,120000,"[76,76,100,100,76,100,76,100,76,76,55,100]",2023-09-06,"Knowledge panel, Reviews, Video, Image, People also ask, Indented, Popular products, Related searches","informational, transactional",Organic
gas station drinks,19,0,4400,19,1.88,https://example.com/info/healthy-gas-station-drinks-guide.html,6,0.0,11.0,0.12,60000000,"[81,81,81,100,81,100,66,81,66,66,66,66]",2023-09-09,"Image pack, Sitelinks, Video, Image, People also ask, Recipes, Related searches",informational,Organic
where to inject mounjaro,12,12,1300,16,3.41,https://example.com/info/inject-mounjaro-thigh.html,6,0.0,20.0,0.07,1560000,"[24,45,81,81,62,81,81,81,81,100,81,81]",2023-09-06,"Sitelinks, Video, Featured snippet, Image, People also ask, Indented, Related searches",informational,Organic
4 panel drug test,17,0,4400,29,2.62,https://example.com/info/4-panel-urine-drug-test.html,6,0.0,15.0,0.08,396000000,"[100,81,100,81,66,81,81,100,100,100,100,100]",2023-09-09,"Video, Featured snippet, Image, People also ask, Popular products, Related searches",informational,Organic
salicylic acid and vitamin c,12,12,1300,25,1.14,https://example.com/blog/can-salicylic-acid-and-vitamin-c-be-used-together/,6,0.0,6.0,0.95,21100000,"[81,62,81,55,62,81,81,81,81,81,100,81]",2023-09-06,"Sitelinks, Reviews, Video, Image, People also ask, FAQ, Popular products, Related searches","commercial, informational",Organic
enskyce birth control,14,14,1900,25,1.9,https://example.com/info/enskyce-birth-control.html,5,0.0,9.0,0.09,89,"[79,79,100,79,79,79,79,100,79,79,79,79]",2023-09-06,"Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
watson 795 blue pill,11,11,1000,19,2.25,https://example.com/blog/watson-795-blue-pill-side-effects-nao-medical/,5,0.0,11.0,0.0,57,"[76,76,100,76,76,67,67,67,76,76,67,67]",2023-09-07,"Featured snippet, Image, People also ask, Related searches",informational,Organic
overactive bladder icd 10,21,21,3600,26,1.2,https://example.com/info/understanding-icd-10-codes-for-urinary-urgency.html,5,0.0,6.0,0.0,131000,"[81,81,100,81,81,65,100,100,81,100,100,100]",2023-09-07,"Image pack, Featured snippet, Image, People also ask, Related searches",informational,Organic
is trt covered by insurance,12,12,1000,23,3.69,https://example.com/info/can-trt-be-covered-by-insurance.html,5,0.0,18.0,0.21,3670000,"[76,76,76,67,100,100,76,100,76,76,76,100]",2023-09-08,"Video, Featured snippet, People also ask, FAQ, Indented, Related searches",informational,Organic
allium allergy,15,15,1600,29,1.8,https://example.com/blog/allium-free-diet-guide-nao-medical/,4,0.0,7.0,0.0,3550000,"[84,84,84,84,84,100,84,100,100,100,100,100]",2023-09-08,"Image pack, Sitelinks, Featured snippet, Image, People also ask, Related searches",informational,Organic
polymorphonuclear leukocytes,23,23,2900,22,3.19,https://example.com/info/polymorphonuclear-leukocytes-meaning.html,4,0.0,12.0,0.0,0,"[65,81,81,65,54,81,100,81,81,65,65,65]",2023-09-05,"Knowledge panel, Carousel, Sitelinks, Video, Featured snippet, People also ask, Indented, Related searches",informational,Organic
dapp vaccine,18,18,2900,25,2.13,https://example.com/blog/what-does-dapp-vaccine-stand-for/,4,0.0,8.0,0.04,1180000,"[100,80,80,66,66,80,80,100,80,100,100,100]",2023-09-04,"Sitelinks, Reviews, People also ask, Related searches","commercial, informational",Organic
how long do poppy seeds stay in your system,18,0,1600,29,1.36,https://example.com/blog/poppy-seeds-show-up-in-drug-tests-nyc/,4,0.0,5.0,0.0,3900000,"[100,68,46,46,68,84,68,84,84,100,84,68]",2023-09-09,"Ads top, Indented",informational,Organic
how long do poppy seeds stay in your system,19,19,1600,29,1.36,https://example.com/blog/poppy-seeds-fail-drug-test-nyc/,4,0.0,5.0,0.0,3900000,"[100,68,46,46,68,84,68,84,84,100,84,68]",2023-09-09,"Ads top, Indented",informational,Organic
drvvt screen,16,16,1600,22,1.76,https://example.com/info/understanding-drvvt-screen-comprehensive-guide.html,4,0.0,7.0,0.0,97,"[84,84,84,84,68,84,100,100,84,100,100,100]",2023-09-06,"Image, People also ask, Indented, Related searches","commercial, informational",Organic
metodo del ritmo,16,16,1600,19,1.73,https://example.com/info/metodo-del-ritmo-como-funciona.html,4,0.0,6.0,0.0,23500000,"[68,68,84,68,68,68,84,100,84,84,84,68]",2023-09-05,"Knowledge panel, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
fruity pebbles nutrition facts,15,15,1600,18,1.95,https://example.com/health/iso-100-fruity-pebbles-nutrition-facts/,4,0.0,7.0,0.33,1240000,"[68,100,84,68,52,84,84,100,84,68,52,52]",2023-09-06,"Knowledge panel, Image pack, Reviews, Featured snippet, People also ask, Indented, Related searches",informational,Organic
encapsulated breast implant,14,14,1000,19,3.26,https://example.com/info/breast-implants-encapsulated-causes-symptoms-treatment.html,3,0.0,9.0,0.07,212000,"[100,76,100,100,67,67,67,76,67,76,67,55]",2023-09-04,"People also ask, Related searches",informational,Organic
encapsulated breast implant,15,15,1000,19,3.26,https://example.com/info/encapsulated-breast-implants.html,3,0.0,9.0,0.07,212000,"[100,76,100,100,67,67,67,76,67,76,67,55]",2023-09-04,"People also ask, Related searches",informational,Organic
